source_uuid,source_label,target_uuid,target_label,relation,weight
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,5dd08d1f-27b5-5645-ae9e-314a6dda79e8,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,2979aade-51ec-5d72-8bb1-9767cad7c510,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,11927d5f-ca0f-50a2-b925-74f3835cf68b,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,4e9a0e34-efae-5934-bdbb-66747ef70738,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,46cde4a3-45f2-5cce-b8b0-f20248700bd6,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,e20d1073-666e-5927-ab90-f95f52f514b4,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,b42eff96-1fc9-5170-804e-aabd9e43b91b,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,030ba14e-3cf5-57cd-9b9e-062159bf69c7,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,3ecd66a8-d0bf-5849-8ab3-d6425e6293a4,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,132e3c46-2ffc-570a-adbe-0d74fddfec2b,症状,临床症状,0.8
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,fdbc4ffb-31e6-534d-b263-1fc6be4616e6,应对技巧,推荐干预,0.9
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,0c123fc2-2235-53fc-bbd0-a02fe1fd6bf8,应对技巧,推荐干预,0.9
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,d07e4f5d-09ee-56f8-9805-43ea33d22ef1,应对技巧,推荐干预,0.9
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,1334edbc-7823-5ff2-8252-f00c5536ed12,应对技巧,推荐干预,0.9
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,10f10cad-7d56-5b27-b86f-e352feab5650,应对技巧,推荐干预,0.9
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,6fbd033f-2226-5e90-ad64-33ffdf7b67dc,应对技巧,推荐干预,0.9
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,99170ec0-45e8-5320-85a8-247f53b377c4,文章,科普阅读,0.95
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,8ed30313-dab5-521d-a41f-4252fb51fc7f,文章,科普阅读,0.95
30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,72488aac-9488-5089-95ce-faac007b9c4c,校园政策,依据政策,0.9
2d8d73b3-9aeb-5326-84f0-2ca8185cebee,校园事件,30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,诱导场景,0.8
a1d619db-88ae-5f36-8bc9-4c10fc5ce7bc,校园事件,30252c3e-4bee-55cb-941e-9d4c8ea425a3,心理问题,诱导场景,0.8
